name,description,sector,close,Perf.5Y,Volatility.W,Volatility.M,market_cap_basic,debt_to_equity_fq,RSI
UTOP,UTOPIA,Finance,14.13,165.1031895,8.130354506,9.141992869,42390000.0,0.0,38.38172239
EGBE,EGYPTIAN GULF BANK,Finance,0.314,-18.39680386,0.785229933,1.593112134,7652876996.0,0.850069487,48.77329683
ADIB,ABU DHABI ISLAMIC BANK- EGYPT,Finance,37.0,307.2851173,6.265045385,6.580296622,18825000763.0,0.786794638,44.19670338
QNBA,QATAR NATIONAL BANK ALAHLY,Finance,31.31,56.55015874,3.603961676,5.397504606,68113956283.0,0.181950603,44.42642354
CANA,SUEZ CANAL BANK S.A.E,Finance,13.1,336.6125267,6.179410509,4.743458928,6659999847.0,2.381465308,45.1891907
MPCI,MEMPHIS PHARMACEUTICALS,Health Technology,86.72,721.9905213,6.177826685,7.227216009,503549981.0,1.029402802,40.52509198
FNAR,AL FANAR CONTRACTING CONSTRUCTION TRADE IMPORT AND EXPORT CO,Industrial Services,1.93,208.8,9.556176711,6.199091314,33759998.0,0.0,43.12147564
SAIB,SOCIETE ARABE INTERNATIONALE DE BANQUE S.A.E.,Finance,2.11,-46.72277,7.10543e-15,-9.76996e-15,3397192246.0,0.658984794,48.80561947
MEGM,MIDDLE EAST GLASS MANUFACTURING,Process Industries,12.54,0.0,-2.27374e-13,1.49214e-13,941924978.0,2.254055962,100.0
FERC,FERCHEM MISR CO. FOR FERTILLIZERS & CHEMICALS,Process Industries,6.31,0.0,1.77636e-15,1.77636e-15,121796996.0,0.950212183,42.03395452
ASCM,ASEK COMPANY FOR MINING - ASCOM,Non-Energy Minerals,40.99,435.1174935,8.545896869,7.178443809,2247849941.0,1.185473157,49.32930882
GBCO,GB CORP,Distribution Services,10.2,142.8571429,4.668058696,6.754234419,11528009876.0,0.680990363,43.36664397
ACGC,ARAB COTTON GINNING,Process Industries,5.22,198.2857143,3.420806535,5.436786094,1414116879.0,0.506656415,33.37921542
ACRO,ACROW MISR,Producer Manufacturing,35.73,128.248371,7.044922863,7.747003992,2093179244.0,0.795659892,30.35189849
ADCI,ARAB PHARMACEUTICALS,Health Technology,85.9,188.6424731,10.89567391,9.698690978,565140015.0,1.203197238,47.5352598
ADPC,THE ARAB DAIRY PRODUCTS CO. ARAB DAIRY - PANDA,Consumer Non-Durables,1.779,-33.1711575,5.081943209,5.36683304,873499990.0,1.58496891,40.7298886
AFDI,EL AHLI INVESTMENT AND DEVELOPMENT,Finance,22.0,244.2879499,6.377647004,7.634408218,403740005.0,5.678085235,39.33384572
AIFI,ATLAS FOR INVESTMENT AND FOOD INDUSTRIES,Process Industries,0.411,404.2944785,4.407091782,6.302907337,275493729.0,0.067853143,38.58438832
AIH,ARABIA INVESTMENTS HOLDING,Industrial Services,0.595,12.53110658,5.554818796,6.238675371,915046501.0,5.095485266,43.74460978
AJWA,AJWA FOR FOOD INDUSTRIES COMPANY EGYPT,Consumer Non-Durables,42.75,189.8305085,4.426999301,5.371704034,856059778.0,0.064291278,41.0469222
ALCN,ALEXANDRIA CONTAINERS AND GOODS,Transportation,36.21,169.4196429,6.586763888,7.707732802,55731675139.0,0.0,46.69563522
AMER,AMER GROUP HOLDING,Finance,0.823,41.29095676,5.324710944,8.310453876,770079682.0,1.352266838,35.80065096
AMES,ALEXANDRIA NEW MEDICAL CENTER,Health Services,65.5,236.5611172,12.2662803,8.016156736,1053648586.0,0.046558525,56.12227196
AMIA,ARAB MOLTAKA INVESTMENTS CO,Finance,1.8,158.4163848,4.087681604,7.048701709,846860037.0,4.063919238,34.35203665
AMOC,ALEXANDRIA MINERAL OILS COMPANY,Energy Minerals,7.15,55.09761388,2.554566727,3.797111581,9272969778.0,0.004062573,39.56247879
AMPI,AL MOASHER FOR PROGRAMMING AND INFORMATION DISSEMINATION,Technology Services,1.115,230.9192551,5.406996157,6.991729167,32826657.0,0.002392871,60.15254023
ANFI,ALEXANDRIA NATIONAL COMPANY FOR FINANCIAL INVESTMENT,Finance,7.97,157.9288026,11.32949406,13.26005456,46502497.0,0.0,44.3230477
APSW,ARAB POLVARA SPINNING & WEAVING CO.,Process Industries,5.0,117.3913043,3.018060029,4.125075153,463748462.0,0.04519634,46.72482924
ARAB,ARAB DEVELOPERS HOLDING,Finance,2.15,289.712892,6.674787745,6.967661638,2896450653.0,1.66105467,37.67150384
AREH,EGYPTIAN REAL ESTATE GROUP,Finance,0.82,335.706695,5.406386641,5.428355492,341199994.0,0.028378918,43.23821841
ARVA,ARAB VALVES COMPANY,Producer Manufacturing,1.555,110.704607,5.44454417,6.34340636,116985678.0,0.335146478,34.52121881
ATQA,MISR NATIONAL STEEL - ATAQA,Non-Energy Minerals,3.05,124.2647059,4.414207425,7.21422877,3695999908.0,0.329292089,41.70172673
AXPH,ALEXANDRIA PHARMACEUTICALS,Health Technology,215.08,76.06417813,2.347395486,2.982711338,1075400009.0,0.007208784,43.71170121
BIGP,BARBARY INVESTMENT GROUP ( BIG),Distribution Services,0.126,71.86480405,4.211387609,7.047683423,41663788.0,0.0,44.44476702
BINV,B INVESTMENTS HOLDING,Finance,17.08,89.77777778,3.475286554,6.774835477,2747619464.0,0.054782504,35.17069265
BIOC,GLAXO SMITH KLINE,Health Technology,30.05,52.07489879,3.619198618,6.063580192,2622346034.0,0.05180337,40.76607009
CAED,CAIRO EDUCATIONAL SERVICES,Consumer Services,18.03,123.6972705,19.89257911,19.38769988,264599991.0,0.0,47.0875745
CCRS,GULF CANADIAN REAL ESTATE INVESTMENT CO.,Finance,17.79,193.0807249,4.530632881,4.860526747,93599997.0,0.0,32.29043748
CEFM,MIDDLE EGYPT FLOUR MILLS,Process Industries,50.7,41.02920331,10.69568959,9.515491047,821539746.0,0.0,48.30590681
CFGH,CONCRETE FASHION GROUP FOR COMMERCIAL& INDUSTRIAL INVESTMENT,Retail Trade,0.051,-52.8356371,7.31292517,7.385751207,1120731948.0,6.580871893,46.60898821
CICH,CI CAPITAL HOLDING FOR FINANCIAL INVESTMENTS,Finance,4.63,-5.464972158,3.978031993,5.249367282,4659999847.0,4.13427206,45.63484766
CIRA,CAIRO FOR INVESTMENT AND REAL ESTATE DEVELOPMENTS-CIRA EDU,Consumer Services,13.76,19.75630983,13.09275176,6.889290988,8211515179.0,2.140866323,66.79501621
COPR,COPPER FOR COMMERCIAL INVESTMENT & REAL ESTATE DEVELOPMENT,Finance,0.387,-90.93164995,7.458830265,6.042640888,199708019.0,0.000347362,41.31600506
COSG,CAIRO OILS & SOAP,Consumer Non-Durables,0.19,106.9045801,3.654740886,4.808169821,602160012.0,0.601364233,35.78145725
CPCI,CAIRO PHARMACEUTICALS,Health Technology,66.03,81.12244997,6.458009298,4.154881449,1033309430.0,0.387209517,45.80459618
CSAG,CANAL SHIPPING AGENCIES,Transportation,17.51,144.0987626,6.29030917,7.631796966,5460000229.0,0.0,42.2537418
DAPH,DEVELOPMENT & ENGINEERING CONSULTANTS,Finance,52.3,356.8901145,6.737950281,11.33102845,1396195627.0,0.420982938,29.6734091
DOMT,ARABIAN FOOD INDUSTRIES DOMTY,Consumer Non-Durables,11.07,0.453720508,3.952931668,6.500718402,3049347901.0,1.214620033,41.63892799
EALR,EL ARABIA FOR LAND RECLAMATION,Finance,29.16,200.9287926,21.63580247,20.36052535,182467994.0,0.081065443,47.71194681
ECAP,EL EZZ PORCELAIN (GEMMA),Producer Manufacturing,19.52,36.08002432,5.961779379,7.43021356,1062582884.0,1.408859456,40.36613308
